Animation_Name	sID	aniID	Time
simonStand	10000	1000	100
simonIdle_R	10001	1001	100
simonIdle_L	11001	1002	100
simonSit_R	10002	1003	100
simonSit_L	11002	1004	100
simonWalk_R	10001	1005	100
simonWalk_R	10003	1005	100
simonWalk_R	10004	1005	100
simonWalk_R	10003	1005	100
simonIdle_L	11001	1006	100
simonWalk_L	11003	1006	100
simonWalk_L	11004	1006	100
simonWalk_L	11003	1006	100
simonAttack_R	10005	1007	100
simonAttack_R	10006	1007	100
simonAttack_R	10007	1007	100
simonAttack_L	11005	1008	100
simonAttack_L	11006	1008	100
simonAttack_L	11007	1008	100
simonSitAtk_R	10008	1009	100
simonSitAtk_R	10009	1009	100
simonSitAtk_R	10010	1009	100
simonSitAtk_L	11008	1010	100
simonSitAtk_L	11009	1010	100
simonSitAtk_L	11010	1010	100
eff		0	0	0
