Frame_Name	ID	left	top	right	bottom
tile0		0	0	0	64	64
tile1		1	64	0	128	64
tile0		2	128	0	192	64
tile0		3	192	0	256	64
tile0		4	256	0	320	64
tile0		5	320	0	384	64
tile0		6	384	0	448	64
tile0		7	448	0	512	64
tile0		8	512	0	576	64
tile0		9	576	0	640	64
tile0		10	640	0	704	64
tile0		11	704	0	768	64
tile0		12	768	0	832	64
tile0		13	832	0	896	64
tile0		14	896	0	960	64
tile0		15	960	0	1024	64
tile0		16	1024	0	1088	64
tile0		17	1088	0	1152	64
tile0		18	1152	0	1216	64
tile0		19	1216	0	1280	64
tile0		20	1280	0	1344	64
tile0		21	1344	0	1408	64
tile0		22	0	64	64	128
tile1		23	64	64	128	128
tile0		24	128	64	192	128
tile0		25	192	64	256	128
tile0		26	256	64	320	128
tile0		27	320	64	384	128
tile0		28	384	64	448	128
tile0		29	448	64	512	128
tile0		30	512	64	576	128
tile0		31	576	64	640	128
tile0		32	640	64	704	128
tile0		33	704	64	768	128
tile0		34	768	64	832	128
tile0		35	832	64	896	128
tile0		36	896	64	960	128
tile0		37	960	64	1024	128
tile0		38	1024	64	1088	128
tile0		39	1088	64	1152	128
tile0		40	1152	64	1216	128
tile0		41	1216	64	1280	128
tile0		42	1280	64	1344	128
tile0		43	1344	64	1408	128
tile0		44	0	128	64	192
tile1		45	64	128	128	192
tile0		46	128	128	192	192
tile0		47	192	128	256	192
tile0		48	256	128	320	192
tile0		49	320	128	384	192
tile0		50	384	128	448	192
tile0		51	448	128	512	192
tile0		52	512	128	576	192
tile0		53	576	128	640	192
tile0		54	640	128	704	192
tile0		55	704	128	768	192
tile0		56	768	128	832	192
tile0		57	832	128	896	192
tile0		58	896	128	960	192
tile0		59	960	128	1024	192
tile0		60	1024	128	1088	192
tile0		61	1088	128	1152	192
tile0		62	1152	128	1216	192
tile0		63	1216	128	1280	192
tile0		64	1280	128	1344	192
tile0		65	1344	128	1408	192
tile0		66	0	192	64	64
tile1		67	64	192	128	64
tile0		68	128	192	192	64
tile0		69	192	192	256	64
tile0		70	256	192	320	64
tile0		71	320	192	384	64
tile0		72	384	192	448	64
tile0		73	448	192	512	64
tile0		74	512	192	576	64
tile0		75	576	192	640	64
tile0		76	640	192	704	64
tile0		77	704	192	768	64
tile0		78	768	192	832	64
tile0		79	832	192	896	64
tile0		80	896	192	960	64
tile0		81	960	192	1024	64
tile0		82	1024	192	1088	64
tile0		83	1088	192	1152	64
tile0		84	1152	192	1216	64
tile0		85	1216	192	1280	64
tile0		86	1280	192	1344	64
tile0		87	1344	192	1408	64


